,trade_date,price
256,19971007,9.4
257,19971008,9.58
258,19971009,9.56
259,19971010,9.6333
260,19971013,9.4333
261,19971014,9.4667
262,19971015,9.6333
263,19971016,10.02
264,19971017,10.54
265,19971020,10.4867
266,19971021,10.8933
267,19971022,10.98
268,19971023,12.0
269,19971024,11.9
270,19971027,12.3
271,19971028,11.61
272,19971029,11.75
273,19971030,11.53
274,19971031,11.39
275,19971103,11.22
276,19971104,11.42
277,19971105,11.43
278,19971106,11.19
279,19971107,11.28
280,19971110,11.16
281,19971111,10.96
282,19971112,10.95
283,19971113,10.75
284,19971114,10.6
285,19971117,10.92
286,19971118,11.45
287,19971119,11.2
288,19971120,11.0
289,19971121,10.83
290,19971124,10.86
291,19971125,10.9
292,19971126,10.95
293,19971127,10.6
294,19971128,10.69
295,19971201,10.57
296,19971202,10.39
297,19971203,10.11
298,19971204,10.5
299,19971205,10.59
300,19971208,10.46
301,19971209,10.44
302,19971210,10.73
303,19971211,10.79
304,19971212,10.54
305,19971215,10.62
306,19971216,10.5
307,19971217,10.5
308,19971218,10.54
309,19971219,10.4
310,19971222,10.45
311,19971223,10.91
312,19971224,11.36
313,19971225,11.2
314,19971226,11.24
315,19971229,11.29
316,19971230,11.47
317,19971231,11.75
318,19980105,12.16
319,19980106,12.07
320,19980107,11.92
321,19980108,12.9
322,19980109,13.54
323,19980112,13.28
324,19980113,12.17
325,19980114,13.23
326,19980115,13.54
327,19980116,13.3
328,19980119,13.47
329,19980120,13.43
330,19980121,13.23
331,19980122,13.3
332,19980123,13.28
333,19980209,13.39
334,19980210,13.19
335,19980211,13.4
336,19980212,13.22
337,19980213,12.9
338,19980216,12.4
339,19980217,11.72
340,19980218,11.42
341,19980219,11.11
342,19980220,10.85
343,19980223,11.0
344,19980224,10.76
345,19980225,10.7
346,19980226,10.65
347,19980227,10.95
348,19980302,10.16
349,19980303,10.06
350,19980304,9.86
351,19980305,10.1
352,19980306,10.12
353,19980309,9.58
354,19980310,9.86
355,19980311,9.72
356,19980312,9.52
357,19980313,9.52
358,19980316,10.25
359,19980317,10.2
360,19980318,10.27
361,19980319,10.45
362,19980320,10.2
363,19980323,10.54
364,19980324,11.04
365,19980325,11.14
366,19980326,11.08
367,19980327,11.23
368,19980330,11.64
369,19980331,11.25
370,19980401,10.96
371,19980402,10.97
372,19980403,10.83
373,19980406,10.93
374,19980407,10.97
375,19980408,11.15
376,19980410,11.0
377,19980413,11.56
378,19980414,12.0
379,19980415,12.07
380,19980416,11.66
381,19980417,11.23
382,19980420,11.29
383,19980421,11.26
384,19980422,11.48
385,19980423,11.17
386,19980424,11.14
387,19980427,10.64
388,19980428,10.76
389,19980429,10.96
390,19980430,10.93
391,19980504,10.95
392,19980505,10.86
393,19980506,11.09
394,19980507,11.74
395,19980508,12.04
396,19980511,12.05
397,19980512,11.78
398,19980513,12.03
399,19980514,11.63
400,19980515,11.61
401,19980518,11.97
402,19980519,12.51
403,19980520,12.22
404,19980521,12.9
405,19980522,13.08
406,19980525,12.94
407,19980526,12.59
408,19980527,12.8
409,19980528,12.4
410,19980529,12.86
411,19980601,12.89
412,19980602,13.3
413,19980603,13.77
414,19980604,13.22
415,19980605,12.75
416,19980608,12.79
417,19980609,12.36
418,19980610,12.01
419,19980611,11.38
420,19980612,12.28
421,19980615,11.75
422,19980616,11.83
423,19980617,11.75
424,19980618,12.05
425,19980619,12.1
